;AnoMes;PAG_PFPJ;REC_PFPJ;PAG_REGIAO;REC_REGIAO;PAG_IDADE;REC_IDADE;FORMAINICIACAO;NATUREZA;FINALIDADE;VALOR;QUANTIDADE
2011;2025-01-01 00:00:00;PF;PF;NORDESTE;NORDESTE;entre 40 e 49 anos;entre 50 e 59 anos;DICT;P2P;Pix;2053687911770000,0;9102704000
2012;2025-01-01 00:00:00;PF;PF;SUL;SUDESTE;até 19 anos;entre 40 e 49 anos;MANU;P2P;Pix;955418270000,0;8094000
2013;2025-01-01 00:00:00;PF;PF;SUDESTE;SUDESTE;entre 40 e 49 anos;entre 30 e 39 anos;Nao disponivel;P2P;Nao disponivel;15672973210000,0;53921000
2014;2025-01-01 00:00:00;PJ;PF;NORTE;CENTRO-OESTE;Nao se aplica;até 19 anos;QRES;B2P;Pix;59323190000,0;262000
2015;2025-01-01 00:00:00;PF;PF;NORTE;SUDESTE;até 19 anos;Nao informado;QRDN;P2P;Pix;6190000,0;1000
2016;2025-01-01 00:00:00;PJ;PF;CENTRO-OESTE;NORTE;Nao se aplica;entre 40 e 49 anos;MANU;G2P;Pix;4354612270000,0;1749000
2017;2025-01-01 00:00:00;PF;PF;Nao informado;Nao informado;até 19 anos;entre 40 e 49 anos;QRES;P2P;Pix;3561830000,0;156000
2018;2025-01-01 00:00:00;PF;PJ;SUL;SUL;entre 20 e 29 anos;Nao se aplica;Nao disponivel;P2G;Nao disponivel;1327380000,0;26000
2019;2025-01-01 00:00:00;PF;PJ;SUL;SUDESTE;entre 40 e 49 anos;Nao se aplica;QRDN;P2B;Pix;2064493596080000,0;29041255000
2020;2025-01-01 00:00:00;PF;PF;NORDESTE;NORTE;até 19 anos;mais de 60 anos;QRDN;P2P;Pix;50628040000,0;3130000
2021;2025-01-01 00:00:00;PF;PF;NORTE;SUDESTE;entre 50 e 59 anos;Nao informado;INIC;P2P;Pix;1883220000,0;3000
2022;2025-01-01 00:00:00;PF;PF;NORDESTE;CENTRO-OESTE;entre 50 e 59 anos;até 19 anos;QRES;P2P;Pix;44650590000,0;1149000
2023;2025-01-01 00:00:00;PF;PF;CENTRO-OESTE;SUDESTE;entre 30 e 39 anos;Nao informado;INIC;P2P;Pix;119530000,0;2000
2024;2025-01-01 00:00:00;PF;PJ;NORTE;SUL;até 19 anos;Nao se aplica;DICT;P2B;Pix;2903166390000,0;15903000
2025;2025-01-01 00:00:00;PJ;PF;NORTE;CENTRO-OESTE;Nao se aplica;entre 40 e 49 anos;DICT;G2P;Pix;32664340000,0;22000
2026;2025-01-01 00:00:00;PF;PF;SUL;NORTE;entre 30 e 39 anos;entre 20 e 29 anos;Nao disponivel;P2P;Nao disponivel;117169070000,0;681000
2027;2025-01-01 00:00:00;PJ;PF;SUDESTE;SUL;Nao se aplica;entre 40 e 49 anos;MANU;G2P;Pix;12431830000,0;40000
2028;2025-01-01 00:00:00;PF;PF;SUDESTE;Nao informado;entre 30 e 39 anos;mais de 60 anos;MANU;P2P;Pix;891610270000,0;704000
2029;2025-01-01 00:00:00;PF;PF;Nao informado;CENTRO-OESTE;mais de 60 anos;entre 20 e 29 anos;Nao disponivel;P2P;Nao disponivel;440000000,0;2000
2030;2025-01-01 00:00:00;PF;PF;NORTE;Nao informado;entre 50 e 59 anos;entre 40 e 49 anos;DICT;P2P;Pix;906959810000,0;3041000
2031;2025-01-01 00:00:00;PF;PF;NORTE;NORDESTE;entre 50 e 59 anos;entre 20 e 29 anos;QRES;P2P;Pix;950117630000,0;14753000
2032;2025-01-01 00:00:00;PF;PF;SUL;NORDESTE;até 19 anos;mais de 60 anos;Nao disponivel;P2P;Nao disponivel;5242660000,0;97000
2033;2025-01-01 00:00:00;PF;PF;SUDESTE;CENTRO-OESTE;entre 50 e 59 anos;entre 30 e 39 anos;MANU;P2P;Pix;8168143770000,0;23121000
2034;2025-01-01 00:00:00;PF;PF;CENTRO-OESTE;SUDESTE;até 19 anos;até 19 anos;DICT;P2P;Pix;2893099050000,0;113076000
2035;2025-01-01 00:00:00;PF;PF;NORTE;SUDESTE;entre 30 e 39 anos;até 19 anos;DICT;P2P;Pix;4338371340000,0;46849000
2036;2025-01-01 00:00:00;PF;PF;Nao informado;SUL;entre 40 e 49 anos;entre 40 e 49 anos;MANU;P2P;Pix;1189246940000,0;1274000
2037;2025-01-01 00:00:00;PF;PF;NORTE;SUDESTE;até 19 anos;mais de 60 anos;QRES;P2P;Pix;80204800000,0;4107000
2038;2025-01-01 00:00:00;PF;PF;SUDESTE;SUDESTE;até 19 anos;entre 40 e 49 anos;QRDN;P2P;Pix;16445979250000,0;876379000
2039;2025-01-01 00:00:00;PF;PJ;NORDESTE;CENTRO-OESTE;entre 40 e 49 anos;Nao se aplica;Nao disponivel;P2B;Nao disponivel;98446060000,0;380000
2040;2025-01-01 00:00:00;PJ;PJ;CENTRO-OESTE;CENTRO-OESTE;Nao se aplica;Nao se aplica;QRES;B2G;Pix;1027271600000,0;5567000
2041;2025-01-01 00:00:00;PF;PF;NORTE;NORDESTE;mais de 60 anos;entre 40 e 49 anos;Nao disponivel;P2P;Nao disponivel;23292720000,0;54000
2042;2025-01-01 00:00:00;PJ;PF;CENTRO-OESTE;NORDESTE;Nao se aplica;entre 20 e 29 anos;DICT;B2P;Pix;383444697280000,0;1940703000
2043;2025-01-01 00:00:00;PF;PF;CENTRO-OESTE;SUL;entre 50 e 59 anos;entre 20 e 29 anos;MANU;P2P;Pix;1026246610000,0;4702000
2044;2025-01-01 00:00:00;PF;PJ;CENTRO-OESTE;NORDESTE;entre 40 e 49 anos;Nao se aplica;QRES;P2G;Pix;17397230000,0;259000
